Time ,Memory
0,6238
0.5,6047
1,6004
1.5,5980
2,5977
2.5,5978
3,5978
3.5,5977
4,5977
4.5,5977
5,5977
5.5,5977
6,5977
6.5,5977
7,5977
7.5,5976
8,5976
8.5,5977
9,5977
9.5,5976
10,5976
10.5,5975
11,5975
11.5,5976
12,5976
12.5,5975
13,5976
13.5,5973
14,5973
14.5,5971
15,5967
15.5,5965
16,5964
16.5,5965
17,5964
17.5,5965
18,5965
18.5,5964
19,5928
19.5,5824
20,5504
20.5,5287
21,5284
21.5,5285
22,5282
22.5,5280
23,5280
23.5,5281
24,5278
24.5,5278
25,5278
25.5,5274
26,5274
26.5,5274
27,5273
27.5,5273
28,5269
28.5,5269
29,5269
29.5,5269
30,5266
30.5,5266
31,5265
31.5,5262
32,5263
32.5,5262
33,5262
33.5,5263
34,5259
34.5,5258
35,5259
35.5,5260
36,5258
36.5,5258
37,5255
37.5,5253
38,5253
38.5,5252
39,5253
39.5,5247
40,5246
40.5,5246
41,5247
41.5,5245
42,5245
42.5,5245
43,3990
43.5,2906
44,2905
44.5,2902
45,2902
45.5,2902
46,2902
46.5,2899
47,2900
47.5,2898
48,2896
48.5,2896
49,2895
49.5,2893
50,2891
50.5,2891
51,2891
51.5,2891
52,2889
52.5,2888
53,2889
53.5,2883
54,2883
54.5,2883
55,2883
55.5,2880
56,2881
56.5,2880
57,2881
57.5,2882
58,2879
58.5,2879
59,2877
59.5,2874
60,2873
60.5,2873
61,2873
61.5,2870
62,2870
62.5,2870
63,2870
63.5,2869
64,2868
64.5,2867
65,2863
65.5,2861
66,2861
66.5,2861
67,2854
67.5,2842
68,2841
68.5,2841
69,2839
69.5,2838
70,2836
70.5,2833
71,2833
71.5,2834
72,2833
72.5,2831
73,2831
73.5,2831
74,2831
74.5,2829
75,2829
75.5,2826
76,2823
76.5,2822
77,2822
77.5,2822
78,2820
78.5,2820
79,2820
79.5,2820
80,2477
80.5,2371
81,2347
81.5,2346
82,2346
82.5,2345
83,2345
83.5,2346
84,2345
84.5,2346
85,2346
85.5,2345
86,2345
86.5,2345
87,2345
87.5,2345
88,2345
88.5,2345
89,2345
89.5,2345
90,2345
90.5,2345
91,2289
91.5,2204
92,2203
92.5,2202
93,2201
93.5,2202
94,2201
94.5,2201
95,2201
95.5,2201
96,2201
96.5,2201
97,2201
97.5,2201
98,2201
98.5,2201
99,2201
99.5,2200
100,2200
100.5,2200
101,2200
101.5,2200
102,2201
102.5,2199
103,2201
103.5,2201
104,2201
104.5,2201
105,2201
105.5,2202
106,2201
106.5,2201
107,2201
107.5,2202
108,2201
108.5,2202
109,2200
109.5,2201
110,2201
110.5,2200
111,2200
111.5,2200
112,2200
112.5,2200
113,2200
113.5,2200
114,2200
114.5,2200
115,2202
115.5,2181
116,2180
116.5,2179
117,2179
117.5,2179
118,2179
118.5,2179
119,2179
119.5,2180
120,2179
120.5,2179
121,2179
121.5,2178
122,2179
122.5,2178
123,2179
123.5,2178
124,2178
124.5,2178
125,2178
125.5,2178
126,2178
126.5,2178
127,2178
127.5,2178
128,2178
128.5,2177
129,2178
129.5,2178
130,2178
130.5,2178
131,2177
131.5,2179
132,2178
132.5,2178
133,2178
133.5,2178
134,2178
134.5,2178
135,2178
135.5,2178
136,2178
136.5,2178
137,2178
137.5,2178
138,2178
138.5,2178
139,2176
139.5,2154
140,2152
140.5,2151
141,2151
141.5,2152
142,2151
142.5,2151
143,2151
143.5,2152
144,2151
144.5,2151
145,2151
145.5,2151
146,2151
146.5,2151
147,2151
147.5,2151
148,2151
148.5,2151
149,2150
149.5,2150
150,2151
150.5,2150
151,2151
151.5,2150
152,2151
152.5,2150
153,2150
153.5,2152
154,2151
154.5,2151
155,2151
155.5,2152
156,2151
156.5,2151
157,2151
157.5,2151
158,2151
158.5,2150
159,2151
159.5,2150
160,2150
160.5,2149
161,2150
161.5,2149
162,2150
162.5,2149
163,2140
163.5,2128
164,2127
164.5,2126
165,2126
165.5,2127
166,2126
166.5,2125
167,2126
167.5,2127
168,2126
168.5,2126
169,2126
169.5,2126
170,2126
170.5,2125
171,2126
171.5,2125
172,2125
172.5,2125
173,2126
173.5,2125
174,2125
174.5,2125
175,2125
175.5,2125
176,2125
176.5,2125
177,2125
177.5,2126
178,2126
178.5,2126
179,2126
179.5,2127
180,2126
180.5,2127
181,2127
181.5,2126
182,2126
182.5,2125
183,2126
183.5,2125
184,2125
184.5,2125
185,2125
185.5,2125
186,2125
186.5,2125
187,2122
187.5,2104
188,2103
188.5,2102
189,2102
189.5,2103
190,2102
190.5,2102
191,2101
191.5,2102
192,2101
192.5,2101
193,2101
193.5,2100
194,2100
194.5,2100
195,2100
195.5,2100
196,2100
196.5,2100
197,2099
197.5,2100
198,2099
198.5,2099
199,2099
199.5,2099
200,2100
200.5,2099
201,2100
201.5,2100
202,2100
202.5,2100
203,2100
203.5,2100
204,2100
204.5,2100
205,2100
205.5,2100
206,2099
206.5,2099
207,2099
207.5,2100
208,2099
208.5,2099
209,2099
209.5,2099
210,2100
210.5,2100
211,1021
211.5,1671
212,1953
212.5,1914
213,1903
213.5,1876
214,1896
214.5,1946
215,1953
215.5,1874
216,1888
216.5,1924
217,1936
217.5,1936
218,1949
218.5,1941
219,1939
219.5,1892
220,1930
220.5,1974
221,1889
221.5,1905
222,1944
222.5,1950
223,1886
223.5,1932
224,1890
224.5,1900
225,1907
225.5,1903
226,1970
226.5,1961
227,1949
227.5,1905
228,1932
228.5,1925
229,1967
229.5,1960
230,1947
230.5,1947
231,1934
231.5,1921
232,1916
232.5,1916
233,1917
233.5,1912
234,1919
234.5,1925
235,1948
235.5,1887
236,1966
236.5,1965
237,1971
237.5,1972
238,1974
238.5,1955
239,1972
239.5,1964
240,1971
240.5,1957
241,1965
241.5,1971
242,1958
242.5,1948
243,1959
243.5,1956
244,14334
244.5,14331
245,14329
245.5,14329
246,14329
246.5,14329
247,14328
247.5,14328
248,14328
248.5,14328
249,14326
249.5,14325
